timestamp,user_id,action,resource,ip_address,location,device,status,amount_inr,transaction_type,risk_score
2026-02-06T00:17:06.713837,BANK0040,upi_transaction,transactions,123.246.114.217,Hyderabad,Android/Chrome,success,,,47
2025-12-08T05:58:06.713855,BANK0015,rtgs_transfer,kyc_documents,103.136.14.47,Jaipur,Android/Chrome,denied,369074.0,NEFT,23
2026-02-11T07:02:06.713867,BANK0019,kyc_verification,customer_accounts,117.110.192.108,Bhopal,Android/Chrome,success,,,39
2025-12-09T00:44:06.713874,BANK0093,upi_transaction,customer_accounts,123.80.25.173,Bangalore,Android/Chrome,success,,,54
2025-12-28T05:36:06.713881,BANK0063,generate_report,reports,117.176.220.29,Surat,iOS/Safari,success,,,39
2025-12-31T00:46:06.713887,BANK0006,neft_transfer,customer_accounts,1.154.108.197,Chennai,Android/Chrome,success,126812.0,NEFT,63
2026-01-28T07:25:06.713893,BANK0096,kyc_verification,reports,1.181.36.102,Delhi,iOS/Safari,success,,,9
2025-12-08T03:04:06.713899,BANK0041,kyc_verification,kyc_documents,27.58.207.6,Lucknow,MacOS/Safari,success,,,79
2026-02-08T02:55:06.713904,BANK0059,upi_transaction,customer_accounts,1.223.205.135,Bangalore,iOS/Safari,denied,,,95
2026-01-08T07:45:06.713910,BANK0044,neft_transfer,reports,117.99.178.90,Chennai,MacOS/Safari,success,269402.0,RTGS,22
2025-11-28T08:38:06.713916,BANK0078,approve_loan,kyc_documents,115.229.165.222,Lucknow,MacOS/Safari,success,,,60
2026-01-15T00:46:06.713922,BANK0057,rtgs_transfer,loans,117.158.236.116,Delhi,Windows/Chrome,success,302022.0,NEFT,82
2025-12-22T00:14:06.713929,BANK0012,kyc_verification,customer_accounts,115.96.164.155,Visakhapatnam,MacOS/Safari,failed,,,57
2026-02-09T01:08:06.713934,BANK0014,upi_transaction,transactions,103.126.224.254,Bhopal,MacOS/Safari,success,,,36
2026-01-07T00:46:06.713940,BANK0050,kyc_verification,loans,117.168.48.143,Nagpur,Android/Chrome,success,,,84
2026-01-08T08:12:06.713945,BANK0078,approve_loan,transactions,49.158.200.34,Chandigarh,Windows/Chrome,success,,,48
2026-02-03T01:44:06.713951,BANK0083,upi_transaction,kyc_documents,49.9.185.80,Kolkata,MacOS/Safari,success,,,98
2026-01-22T07:40:06.713956,BANK0063,neft_transfer,customer_accounts,27.51.19.170,Lucknow,MacOS/Safari,success,162745.0,RTGS,23
2025-12-25T09:23:06.713963,BANK0089,approve_loan,loans,1.227.145.193,Bhopal,MacOS/Safari,success,,,39
2026-01-03T00:21:06.713969,BANK0061,neft_transfer,kyc_documents,27.195.214.248,Kolkata,MacOS/Safari,success,146121.0,IMPS,6
2026-01-03T00:50:06.713975,BANK0083,generate_report,customer_accounts,117.145.42.196,Kolkata,Android/Chrome,success,,,65
2026-02-08T05:57:06.713980,BANK0019,kyc_verification,kyc_documents,49.13.212.14,Nagpur,Android/Chrome,success,,,10
2026-02-16T03:50:06.713985,BANK0048,neft_transfer,customer_accounts,49.74.70.10,Surat,iOS/Safari,success,146534.0,UPI,57
2026-02-09T09:33:06.713991,BANK0079,view_account,transactions,123.216.56.199,Surat,MacOS/Safari,success,,,6
2025-11-30T00:20:06.713997,BANK0031,kyc_verification,customer_accounts,117.255.8.162,Vadodara,MacOS/Safari,success,,,37
2025-12-03T04:34:06.714002,BANK0055,view_account,reports,106.95.43.135,Kanpur,Windows/Chrome,failed,,,69
2026-01-01T02:47:06.714007,BANK0065,view_account,kyc_documents,49.129.8.92,Bangalore,Android/Chrome,success,,,84
2025-12-07T04:41:06.714013,BANK0081,transfer_funds,customer_accounts,49.173.89.213,Bhopal,iOS/Safari,success,851916.0,RTGS,8
2026-02-15T05:37:06.714019,BANK0092,generate_report,customer_accounts,1.21.161.239,Surat,iOS/Safari,failed,,,69
2026-02-15T06:31:06.714024,BANK0061,rtgs_transfer,loans,103.169.139.32,Kanpur,iOS/Safari,denied,780414.0,UPI,49
2025-12-18T02:26:06.714030,BANK0044,approve_loan,reports,27.42.217.21,Indore,MacOS/Safari,success,,,41
2026-01-09T05:30:06.714036,BANK0014,transfer_funds,kyc_documents,106.85.227.90,Bhopal,Windows/Chrome,success,956889.0,IMPS,78
2025-11-30T09:45:06.714041,BANK0056,rtgs_transfer,kyc_documents,49.81.15.37,Chandigarh,iOS/Safari,success,71499.0,RTGS,99
2026-01-04T03:13:06.714048,BANK0083,upi_transaction,customer_accounts,123.230.189.96,Bhopal,Windows/Chrome,success,,,67
2026-01-10T05:34:06.714053,BANK0047,kyc_verification,customer_accounts,103.95.255.133,Nagpur,Windows/Chrome,success,,,33
2026-01-23T00:31:06.714058,BANK0091,generate_report,kyc_documents,1.62.69.219,Bangalore,iOS/Safari,success,,,91
2025-11-24T04:07:06.714063,BANK0057,transfer_funds,loans,117.148.153.218,Kolkata,MacOS/Safari,success,534469.0,RTGS,15
2026-01-20T02:48:06.714069,BANK0026,approve_loan,loans,49.239.66.157,Bangalore,Windows/Chrome,success,,,91
2025-12-14T03:00:06.714075,BANK0093,generate_report,kyc_documents,117.64.162.165,Bangalore,iOS/Safari,success,,,66
2025-12-11T00:38:06.714081,BANK0045,approve_loan,transactions,106.28.63.133,Chennai,Android/Chrome,success,,,41
2026-01-06T00:52:06.714088,BANK0091,neft_transfer,loans,117.128.100.163,Kochi,Android/Chrome,success,318534.0,NEFT,64
2025-12-06T00:40:06.714093,BANK0083,approve_loan,transactions,49.21.14.21,Delhi,Android/Chrome,success,,,98
2025-12-02T09:18:06.714099,BANK0074,kyc_verification,reports,27.154.247.63,Nagpur,Android/Chrome,success,,,88
2025-12-25T03:19:06.714104,BANK0008,approve_loan,kyc_documents,1.174.73.81,Lucknow,Android/Chrome,failed,,,16
2025-12-16T01:43:06.714110,BANK0098,upi_transaction,loans,1.238.62.69,Bhopal,MacOS/Safari,success,,,6
2025-12-03T03:34:06.714117,BANK0038,kyc_verification,transactions,49.160.97.196,Kolkata,iOS/Safari,failed,,,59
2025-12-18T09:44:06.714122,BANK0064,rtgs_transfer,kyc_documents,115.123.110.150,Kanpur,Windows/Chrome,success,519934.0,UPI,36
2026-02-06T03:41:06.714128,BANK0069,view_account,loans,49.206.187.12,Nagpur,Windows/Chrome,success,,,24
2026-02-10T03:17:06.714133,BANK0047,rtgs_transfer,kyc_documents,27.60.65.250,Hyderabad,iOS/Safari,success,356556.0,IMPS,96
2025-12-04T01:24:06.714139,BANK0019,neft_transfer,reports,103.23.19.36,Lucknow,iOS/Safari,success,157175.0,RTGS,41
2026-01-30T03:10:06.714145,BANK0079,upi_transaction,loans,49.250.153.122,Mumbai,Android/Chrome,success,,,14
2025-11-23T09:11:06.714150,BANK0054,rtgs_transfer,kyc_documents,27.116.26.150,Visakhapatnam,MacOS/Safari,success,757215.0,UPI,18
2026-02-15T00:05:06.714157,BANK0088,neft_transfer,customer_accounts,1.9.225.81,Indore,MacOS/Safari,success,214795.0,UPI,64
2026-02-12T07:16:06.714162,BANK0100,generate_report,transactions,49.244.192.81,Kolkata,iOS/Safari,denied,,,43
2025-11-25T05:10:06.714168,BANK0070,upi_transaction,kyc_documents,1.126.142.143,Surat,MacOS/Safari,denied,,,38
2025-11-21T06:05:06.714173,BANK0099,rtgs_transfer,kyc_documents,49.245.178.144,Jaipur,Android/Chrome,success,710489.0,UPI,50
2026-01-13T09:31:06.714179,BANK0045,approve_loan,customer_accounts,49.226.131.192,Visakhapatnam,MacOS/Safari,success,,,68
2026-02-02T08:10:06.714184,BANK0035,rtgs_transfer,reports,1.124.25.172,Vadodara,MacOS/Safari,success,56040.0,NEFT,52
2026-02-07T07:49:06.714190,BANK0043,generate_report,reports,123.208.243.123,Pune,Android/Chrome,success,,,82
2025-11-28T00:35:06.714196,BANK0008,transfer_funds,reports,103.89.213.226,Kolkata,Windows/Chrome,failed,417278.0,UPI,23
2026-02-15T09:30:06.714202,BANK0096,rtgs_transfer,reports,117.171.145.117,Kochi,iOS/Safari,denied,141718.0,UPI,34
2026-01-08T07:03:06.714208,BANK0025,transfer_funds,kyc_documents,27.95.7.189,Lucknow,Android/Chrome,success,795068.0,RTGS,22
2025-12-27T01:29:06.714214,BANK0079,kyc_verification,customer_accounts,106.48.94.252,Chennai,iOS/Safari,success,,,31
2026-01-01T06:21:06.714219,BANK0001,rtgs_transfer,loans,49.154.5.67,Kanpur,MacOS/Safari,success,124967.0,UPI,39
2025-11-24T00:50:06.714225,BANK0021,kyc_verification,loans,117.151.188.158,Ahmedabad,MacOS/Safari,failed,,,61
2025-12-04T04:23:06.714231,BANK0020,generate_report,reports,115.111.126.175,Chandigarh,Windows/Chrome,success,,,67
2026-02-10T00:42:06.714237,BANK0091,upi_transaction,customer_accounts,1.76.84.84,Vadodara,iOS/Safari,success,,,26
2026-02-08T01:21:06.714242,BANK0092,generate_report,customer_accounts,115.67.212.117,Coimbatore,Windows/Chrome,success,,,86
2025-12-31T04:57:06.714247,BANK0040,view_account,customer_accounts,1.37.23.109,Kanpur,Windows/Chrome,success,,,7
2026-02-15T05:23:06.714252,BANK0009,generate_report,transactions,123.215.191.229,Nagpur,iOS/Safari,denied,,,48
2025-11-24T01:41:06.714258,BANK0049,transfer_funds,loans,117.91.201.136,Chennai,MacOS/Safari,success,793911.0,NEFT,38
2025-12-13T02:57:06.714264,BANK0060,kyc_verification,transactions,1.235.177.40,Jaipur,MacOS/Safari,denied,,,92
2026-02-15T03:10:06.714269,BANK0098,transfer_funds,customer_accounts,1.105.34.26,Chandigarh,Windows/Chrome,success,705667.0,NEFT,31
2025-12-30T02:35:06.714275,BANK0095,view_account,reports,1.28.71.129,Surat,MacOS/Safari,success,,,93
2025-12-08T00:00:06.714280,BANK0074,upi_transaction,loans,1.154.73.253,Vadodara,MacOS/Safari,success,,,35
