timestamp,user_id,action,student_enrollment,resource,semester,academic_year,ip_address,location,device,status,risk_score
2026-02-19T01:41:06.830759,EDU0081,update_attendance,2024ME185,marks_entry,VI,2026-2026,106.182.242.17,Kolkata,Faculty Workstation,success,3
2025-12-31T09:30:06.830767,EDU0097,enter_marks,2020ME443,student_records,III,2023-2025,1.18.10.63,Ahmedabad,Faculty Workstation,success,41
2026-02-13T08:01:06.830773,EDU0046,enter_marks,2022CE484,student_records,VIII,2023-2027,106.152.41.83,Hyderabad,Mobile,success,46
2026-01-26T07:29:06.830780,EDU0047,enter_marks,2022ME378,digilocker,V,2026-2027,49.186.145.80,Nagpur,Mobile,success,44
2025-12-18T04:36:06.830786,EDU0191,access_transcript,2026CE957,attendance,VI,2025-2024,1.18.135.243,Mumbai,Faculty Workstation,success,88
2026-01-28T08:23:06.830792,EDU0130,digilocker_verify,2024EC375,student_records,VI,2025-2025,49.47.97.132,Coimbatore,Personal Laptop,success,61
2025-11-28T07:51:06.830797,EDU0014,enter_marks,2020ME627,attendance,I,2026-2027,1.7.206.59,Visakhapatnam,Mobile,success,40
2025-12-02T06:18:06.830803,EDU0083,enter_marks,2020EC763,transcripts,VIII,2025-2024,27.248.79.39,Hyderabad,Personal Laptop,success,11
2025-11-27T08:28:06.830808,EDU0169,approve_exam_form,2026EC342,marks_entry,VII,2023-2025,115.175.129.153,Chandigarh,Faculty Workstation,denied,3
2025-12-15T08:03:06.830815,EDU0015,enter_marks,2020EC470,transcripts,VIII,2026-2025,115.182.195.109,Indore,Faculty Workstation,success,81
2026-02-01T06:47:06.830820,EDU0109,update_attendance,2023CS808,marks_entry,VII,2023-2027,49.181.36.85,Coimbatore,Personal Laptop,success,29
2025-12-29T09:07:06.830826,EDU0051,approve_exam_form,2020CS614,marks_entry,III,2026-2026,123.110.203.81,Lucknow,Mobile,success,42
2026-01-21T09:22:06.830831,EDU0052,enter_marks,2023CS704,marks_entry,V,2023-2027,1.255.18.101,Bangalore,Mobile,success,87
2026-02-05T09:34:06.830836,EDU0164,generate_marksheet,2020CE515,attendance,V,2024-2026,106.4.115.246,Chandigarh,Personal Laptop,success,95
2026-02-17T05:40:06.830842,EDU0040,digilocker_verify,2026EC821,marks_entry,IV,2026-2026,106.132.174.83,Bangalore,Personal Laptop,success,87
2026-01-27T07:29:06.830847,EDU0157,approve_exam_form,2023ME491,attendance,II,2024-2026,103.49.1.225,Kochi,Personal Laptop,success,40
2025-11-22T02:50:06.830852,EDU0165,enter_marks,2023CS129,attendance,VIII,2025-2026,115.173.77.38,Delhi,Mobile,success,24
2026-01-09T06:05:06.830858,EDU0166,enter_marks,2026CE421,digilocker,III,2023-2026,115.216.36.58,Kolkata,Faculty Workstation,success,28
2025-11-23T07:32:06.830863,EDU0189,enter_marks,2020ME872,transcripts,VIII,2026-2026,1.151.167.192,Chennai,Personal Laptop,success,62
2025-11-30T05:27:06.830868,EDU0035,generate_marksheet,2021ME850,attendance,VII,2026-2027,1.62.100.100,Vadodara,Mobile,success,63
2025-12-20T05:41:06.830874,EDU0080,generate_marksheet,2023EC168,digilocker,V,2026-2024,1.45.105.218,Coimbatore,Faculty Workstation,success,92
2025-11-28T07:49:06.830879,EDU0051,view_student_record,2024CS756,transcripts,II,2024-2025,1.126.95.28,Coimbatore,Faculty Workstation,success,26
2026-02-18T08:28:06.830884,EDU0183,enter_marks,2020CE104,transcripts,VII,2024-2027,27.140.17.54,Lucknow,Personal Laptop,success,74
2025-12-19T05:16:06.830890,EDU0039,update_attendance,2025ME515,transcripts,VIII,2026-2025,27.135.49.242,Nagpur,Personal Laptop,success,77
