timestamp,user_id,action,file_number,resource,classification,rti_applicable,ip_address,location,device,status,risk_score
2026-01-25T08:34:06.800527,GOV0013,digidocker_search,68/F.No/11/2025,eoffice,Unclassified,False,117.237.239.192,Mumbai,Government Workstation,success,14
2025-12-07T03:57:06.800533,GOV0065,approve_proposal,224/F.No/18/2024,digidocker,Secret,True,117.220.244.12,Chennai,Government Workstation,success,71
2025-12-18T09:07:06.800539,GOV0043,digidocker_search,442/F.No/37/2025,rti_portal,Secret,False,1.226.233.201,Kolkata,NIC Laptop,success,51
2025-12-02T06:03:06.800544,GOV0012,access_eoffice,516/F.No/29/2024,digidocker,Unclassified,True,27.119.55.42,Chennai,Mobile,success,39
2026-02-13T07:22:06.800549,GOV0089,parivahan_access,858/F.No/40/2024,rti_portal,Secret,False,117.181.1.128,Mumbai,Mobile,success,81
2025-11-08T02:38:06.800555,GOV0034,approve_proposal,469/F.No/6/2025,financial_records,Confidential,False,49.37.144.57,Delhi,Mobile,success,90
2026-01-21T04:38:06.800560,GOV0038,digidocker_search,698/F.No/29/2026,rti_portal,Confidential,True,123.110.31.236,Kolkata,NIC Laptop,success,33
2025-10-23T07:12:06.800565,GOV0021,rtionline_response,711/F.No/5/2025,digidocker,Unclassified,False,103.39.40.51,Delhi,Government Workstation,success,22
2026-02-03T05:49:06.800570,GOV0053,digidocker_search,897/F.No/36/2025,eoffice,Unclassified,False,115.93.242.239,Chennai,Government Workstation,success,34
2025-10-31T07:13:06.800575,GOV0093,access_eoffice,646/F.No/35/2024,digidocker,Restricted,True,27.58.74.36,Kolkata,Mobile,success,89
2025-12-29T04:46:06.800580,GOV0042,parivahan_access,501/F.No/25/2024,eoffice,Unclassified,False,117.48.133.132,Chennai,NIC Laptop,success,92
2026-02-18T07:03:06.800584,GOV0004,approve_proposal,371/F.No/40/2025,digidocker,Secret,False,103.139.137.91,Kolkata,NIC Laptop,success,10
2026-01-16T08:01:06.800589,GOV0015,view_file,949/F.No/40/2025,eoffice,Unclassified,False,106.225.88.149,Kolkata,NIC Laptop,success,39
2025-10-22T03:28:06.800593,GOV0083,parivahan_access,962/F.No/20/2024,eoffice,Secret,False,27.2.120.105,Kolkata,Mobile,success,44
2025-10-25T02:19:06.800598,GOV0016,approve_proposal,900/F.No/17/2024,financial_records,Unclassified,True,1.146.168.60,Mumbai,Mobile,success,66
2026-02-06T03:10:06.800603,GOV0056,view_file,354/F.No/29/2026,financial_records,Unclassified,True,103.144.182.53,Chennai,Mobile,success,97
2026-02-08T00:17:06.800607,GOV0014,access_eoffice,332/F.No/14/2026,financial_records,Unclassified,False,49.137.125.56,Bangalore,Government Workstation,success,27
2025-12-24T06:12:06.800612,GOV0064,create_noting,326/F.No/50/2025,digidocker,Secret,True,106.246.13.210,Mumbai,Mobile,success,37
2025-10-22T02:04:06.800616,GOV0005,approve_proposal,554/F.No/20/2026,financial_records,Restricted,False,1.202.133.156,Delhi,NIC Laptop,success,76
2025-11-12T02:12:06.800621,GOV0103,create_noting,26/F.No/48/2026,digidocker,Confidential,True,49.144.157.164,Delhi,NIC Laptop,success,32
